# File generated by CMD 3.3 (http://stev.oapd.inaf.it/cmd) on Mon Apr 20 18:15:26 CEST 2020
# isochrones based on PARSEC release v1.2S +  COLIBRI S_35
# Basic references: Bressan et al. (2012), MNRAS, 427, 127 + Chen et al. (2014, 2015), MNRAS, 444, 2525 + MNRAS, 452, 1068 + Tang et al. (2014), MNRAS, 445, 4287 + Marigo et al. (2017), ApJ, 835, 77 + Pastorelli al. (2019), MNRAS in press
# Thermal pulse cycles included 
# On RGB, assumed Reimers mass loss with efficiency eta=0.2
# Photometric system: <i>UBVRIJHK</i> (cf. Maiz-Apellaniz 2006 + Bessell 1990)
# Using YBC version of bolometric corrections as in Chen et al. (2019)
# O-rich circumstellar dpmod60alox40 dust from Groenewegen (2006)
# C-rich circumstellar AMCSIC15 dust from Groenewegen (2006)
# IMF: Kroupa (2001, 2002) + Kroupa et al. (2013) canonical two-part-power law IMF corrected for unresolved binaries 
# Kind of output: simulations of mass 10000 Msun
# Z         age       Mini           Mass   logL    logTe  logg  label   McoreTP C_O  period0 period1 pmode  Mloss  tau1m   X   Y   Xc  Xn  Xo  Cexcess  Z 	 mbolmag  Umag    Bmag    Vmag    Rmag    Imag    Jmag    Hmag    Kmag
0.00004384  1.37e+10  0.1093355194   0.109 -2.637  3.5736  5.358    1  0.000  0.545     0.00     0.00 -1 -6.84e-17      0.00 7.426e-01 2.573e-01 1.798e-05 4.851e-06 4.400e-05 -1.000 1.000e-04 11.363 15.063 13.833 12.404 11.406 10.624 9.681 9.233 9.105
0.00004384  1.37e+10  0.3731622994   0.372 -1.394  3.6558  4.978    1  0.000  0.544     0.00     0.00 -1 -7.76e-16      0.00 7.419e-01 2.580e-01 1.797e-05 4.852e-06 4.400e-05 -1.000 1.001e-04 8.254 10.077 9.679 8.723 8.088 7.528 6.829 6.340 6.190
0.00004384  1.37e+10  0.6547927260   0.654 -0.309  3.7679  4.586    1  0.000  0.542     0.00     0.00 -1 -3.88e-14      0.00 8.280e-01 1.719e-01 1.287e-05 3.483e-06 3.167e-05 -1.000 9.996e-05 5.542 5.958 6.211 5.698 5.336 4.986 4.566 4.226 4.176
0.00004384  1.37e+10  0.1587384194   0.158 -2.160  3.6117  5.195    1  0.000  0.545     0.00     0.00 -1 -1.43e-16      0.00 7.367e-01 2.632e-01 1.798e-05 4.851e-06 4.400e-05 -1.000 9.990e-05 10.171 12.872 12.080 10.916 10.108 9.446 8.616 8.100 7.940
0.00004384  1.37e+10  0.3896682858   0.389 -1.352  3.6587  4.966    1  0.000  0.545     0.00     0.00 -1 -5.77e-16      0.00 7.462e-01 2.537e-01 1.797e-05 4.852e-06 4.400e-05 -1.000 9.999e-05 8.149 9.921 9.547 8.603 7.977 7.424 6.733 6.247 6.099
0.00004384  1.37e+10  0.1693259627   0.169 -2.093  3.6155  5.172    1  0.000  0.545     0.00     0.00 -1 -6.42e-16      0.00 7.363e-01 2.636e-01 1.798e-05 4.851e-06 4.400e-05 -1.000 9.993e-05 10.002 12.617 11.862 10.719 9.929 9.277 8.458 7.941 7.778
0.00004384  1.37e+10  0.4831163883   0.482 -1.066  3.6838  4.874    1  0.000  0.545     0.00     0.00 -1 -5.69e-15      0.00 7.520e-01 2.479e-01 1.790e-05 4.828e-06 4.380e-05 -1.000 9.996e-05 7.434 8.783 8.614 7.774 7.223 6.721 6.100 5.646 5.522
0.00004384  1.37e+10  0.1209526062   0.120 -2.492  3.5870  5.310    1  0.000  0.545     0.00     0.00 -1 -1.71e-16      0.00 7.405e-01 2.594e-01 1.798e-05 4.851e-06 4.400e-05 -1.000 1.000e-04 11.000 14.310 13.252 11.929 11.000 10.269 9.366 8.883 8.745
0.00004384  1.37e+10  0.3156990111   0.315 -1.538  3.6463  5.011    1  0.000  0.544     0.00     0.00 -1 -2.21e-16      0.00 7.364e-01 2.635e-01 1.797e-05 4.852e-06 4.400e-05 -1.000 1.000e-04 8.615 10.609 10.131 9.136 8.469 7.889 7.162 6.661 6.504
0.00004384  1.37e+10  0.2025048733   0.201 -1.921  3.6248  5.114    1  0.000  0.545     0.00     0.00 -1 -5.06e-16      0.00 7.361e-01 2.638e-01 1.798e-05 4.851e-06 4.400e-05 -1.000 9.999e-05 9.572 11.989 11.321 10.227 9.477 8.847 8.056 7.538 7.373
